Algorithm,Dataset,Environment,Reward_mean,Reward_std,Steps,Seed
BC,suboptimal,train,0.1,0.30000000000000004,200,12
BC,suboptimal,test_100,0.125,0.33071891388307384,200,12
BC,suboptimal,test_0,0.0,0.0,200,12
BC,suboptimal,train,0.225,0.4175823272122517,400,12
BC,suboptimal,test_100,0.1,0.30000000000000004,400,12
BC,suboptimal,test_0,0.0,0.0,400,12
BC,suboptimal,train,0.2,0.4000000000000001,600,12
BC,suboptimal,test_100,0.225,0.4175823272122517,600,12
BC,suboptimal,test_0,0.1,0.30000000000000004,600,12
BC,suboptimal,train,0.35,0.4769696007084729,800,12
BC,suboptimal,test_100,0.35,0.4769696007084729,800,12
BC,suboptimal,test_0,0.0,0.0,800,12
BC,suboptimal,train,0.325,0.4683748498798799,1000,12
BC,suboptimal,test_100,0.2,0.4000000000000001,1000,12
BC,suboptimal,test_0,0.0,0.0,1000,12
